experiment_no,model,key_hyperparameters,imbalance_strategy,split,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,key_observation
1,Logistic Regression,"max_iter=1000, C=1.0",SMOTE,70/15/15 stratified,0.756,0.126,0.838,0.249,0.859,Best overall model. SMOTE shifts decision boundary to favour minority class producing highest recall at cost of precision.
2,Logistic Regression,"max_iter=1000, C=1.0",Class-weighted,70/15/15 stratified,0.751,0.118,0.811,0.239,0.855,Marginally lower AUC than SMOTE. Class weighting penalises minority errors in loss but does not generate synthetic samples yielding slightly lower recall.
3,Functional API,"branches [32,16], merge [32], dropout=0.3, lr=1e-3",SMOTE,70/15/15 stratified,0.736,0.111,0.811,0.229,0.848,Best deep learning result. Multi-branch architecture processes numeric and categorical features separately before merging but does not surpass linear baseline.
4,Functional API,"branches [32,16], merge [32], dropout=0.3, lr=1e-3",Class-weighted,70/15/15 stratified,0.706,0.098,0.784,0.205,0.842,Class-weighting in DL: comparable strategy to Exp 2 for linear models but recall drops slightly relative to SMOTE version (Exp 3).
5,Sequential MLP-C,"layers [128,64], dropout=0.4, L2=1e-3, lr=1e-3",Class-weighted,70/15/15 stratified,0.710,0.100,0.784,0.207,0.840,Deeper architecture + L2 regularisation provides marginal gain over baseline Sequential A (0.840 vs 0.834). Stronger regularisation compensates for added parameters.
6,Sequential MLP-A,"layers [64,32], dropout=0.3, lr=1e-3",Class-weighted,70/15/15 stratified,0.715,0.103,0.784,0.210,0.834,Deep learning baseline. Converges in ~19 epochs with stable training-validation gap confirming no significant overfitting.
7,Sequential MLP-B,"layers [64,32], dropout=0.3, lr=1e-3",None,70/15/15 stratified,0.953,0.200,0.027,0.053,0.832,Accuracy paradox: 95.3% accuracy but only 2.7% stroke recall. Without correction the network collapses onto the majority class making it clinically useless.
8,Sequential MLP-D,"layers [64,32], dropout=0.3, lr=1e-2",Class-weighted,70/15/15 stratified,0.739,0.113,0.784,0.225,0.829,Higher learning rate causes gradient instability. Final AUC (0.829) is below baseline (0.834) showing overshooting outweighs faster initial convergence on this dataset.
9,Sequential MLP-E,"layers [64,32], dropout=0.3, lr=1e-4",Class-weighted,70/15/15 stratified,0.730,0.107,0.784,0.219,0.827,Lower learning rate converges smoothly but slowly. Final AUC (0.827) nearly identical to baseline confirming this dataset is not highly sensitive to learning rate in the 0.0001-0.001 range.
10,Random Forest,n_estimators=200,SMOTE,70/15/15 stratified,0.941,0.053,0.081,0.118,0.817,SMOTE does not rescue Random Forest. Tree splits on synthetic samples do not generalise well to the real minority-class distribution in validation.
11,Random Forest,n_estimators=200,Class-weighted,70/15/15 stratified,0.950,0.000,0.000,0.000,0.815,Strongest accuracy paradox case: 95% accuracy zero stroke recall. Class weighting has negligible effect on Random Forest vote aggregation at this imbalance ratio.
12,SVM (RBF kernel),"C=1.0, gamma=scale",Class-weighted,70/15/15 stratified,0.791,0.114,0.649,0.231,0.801,SVM with class weighting achieves useful recall (0.649) but lowest AUC of all approaches. RBF kernel provides limited advantage over a linear boundary for this mixed-type feature set.
